Ano (data);País;Região;Estado;Estado sigla;Município (Municípios);Município Estado;Latitude;Longitude;Espécie florestal;Área (ha)
31/12/2014;Brasil;Norte;Rondônia;RO;Pimenta Bueno;Pimenta Bueno (RO);-11,89;-60,83;Outras espécies;3200
31/12/2015;Brasil;Norte;Rondônia;RO;Pimenta Bueno;Pimenta Bueno (RO);-11,89;-60,83;Outras espécies;3072
31/12/2016;Brasil;Norte;Rondônia;RO;Pimenta Bueno;Pimenta Bueno (RO);-11,89;-60,83;Outras espécies;4202
31/12/2014;Brasil;Norte;Rondônia;RO;Porto Velho;Porto Velho (RO);-9,153;-64,31;Eucalipto;0
31/12/2015;Brasil;Norte;Rondônia;RO;Porto Velho;Porto Velho (RO);-9,153;-64,31;Eucalipto;0
31/12/2016;Brasil;Norte;Rondônia;RO;Porto Velho;Porto Velho (RO);-9,153;-64,31;Eucalipto;0
31/12/2014;Brasil;Norte;Rondônia;RO;Porto Velho;Porto Velho (RO);-9,153;-64,31;Pinus;0
31/12/2015;Brasil;Norte;Rondônia;RO;Porto Velho;Porto Velho (RO);-9,153;-64,31;Pinus;0
31/12/2016;Brasil;Norte;Rondônia;RO;Porto Velho;Porto Velho (RO);-9,153;-64,31;Pinus;0
31/12/2014;Brasil;Norte;Rondônia;RO;Porto Velho;Porto Velho (RO);-9,153;-64,31;Outras espécies;65
31/12/2015;Brasil;Norte;Rondônia;RO;Porto Velho;Porto Velho (RO);-9,153;-64,31;Outras espécies;61
31/12/2016;Brasil;Norte;Rondônia;RO;Porto Velho;Porto Velho (RO);-9,153;-64,31;Outras espécies;83
31/12/2014;Brasil;Norte;Rondônia;RO;Presidente Médici;Presidente Médici (RO);-11,17;-61,88;Eucalipto;0
31/12/2015;Brasil;Norte;Rondônia;RO;Presidente Médici;Presidente Médici (RO);-11,17;-61,88;Eucalipto;0
31/12/2016;Brasil;Norte;Rondônia;RO;Presidente Médici;Presidente Médici (RO);-11,17;-61,88;Eucalipto;0
31/12/2014;Brasil;Norte;Rondônia;RO;Presidente Médici;Presidente Médici (RO);-11,17;-61,88;Pinus;0
31/12/2015;Brasil;Norte;Rondônia;RO;Presidente Médici;Presidente Médici (RO);-11,17;-61,88;Pinus;0
31/12/2016;Brasil;Norte;Rondônia;RO;Presidente Médici;Presidente Médici (RO);-11,17;-61,88;Pinus;0
31/12/2014;Brasil;Norte;Rondônia;RO;Presidente Médici;Presidente Médici (RO);-11,17;-61,88;Outras espécies;86
